book_id,isbn,isbn13,authors,publication_year,title,language_code,average_rating,ratings_count,image_url
45,375831002,9780375831000,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg  
46,307347974,9780307347980,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg  
47,316160199,9780316160190,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg  
48,60513039,9780060513030,Shel Silverstein,1974,Where the Sidewalk Ends,eng,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg  
49,1416914285,9781416914280,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg  
50,316160202,9780316160210,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg  
51,375826696,9780375826700,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg  
52,345391802,9780345391800,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg  
53,60929871,9780060929880,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg  
54,142001740,9780142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg  
55,142437174,9780142437180,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg  
56,64410935,9780064410940,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg  
57,1400032717,9781400032720,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg  
58,1594633665,9781594633670,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg  
59,679879242,9780679879240,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg  
60,393978893,9780393978900,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
61,743454537,9780743454540,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg  
62,385333846,9780385333850,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg  
63,446675539,9780446675540,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg  
64,1594489505,9781594489500,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg  
65,671027344,9780671027350,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg  
66,7442912,9780007442910,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg  
67,812550706,9780812550700,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg  
68,141439475,9780141439470,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg  
69,450040186,9780450040180,Stephen King,1977,The Shining (The Shining #1),eng,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg  
70,316068047,9780316068050,Stephenie Meyer,2008,"The Host (The Host, #1)",en-US,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg  
71,142402516,9780142402510,John Green,2005,Looking for Alaska,eng,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg  
72,141439661,9780141439660,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg  
73,439244196,9780439244190,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg  
74,307275558,9780307275550,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
75,143039954,9780143039950,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,eng,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg  
76,156012197,9780156012200,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg  
77,385486804,9780385486800,Jon Krakauer,1996,Into the Wild,eng,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg  
78,141439602,9780141439600,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg  
79,60256656,9780060256650,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg  
80,385338600,9780385338610,John Grisham,1989,A Time to Kill,eng,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
81,374500010,9780374500020,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg  
82,345418263,9780345418260,William Goldman,1973,The Princess Bride ,en-US,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg  
83,385737947,9780385737940,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg  
84,61234001,9780061234000,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg  
85,517189607,9780517189600,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg  
86,60531045,9780060531040,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg  
87,375751513,9780375751520,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg  
88,345803507,9780345803500,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg  
89,393970124,9780393970130,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg  
90,307269981,9780307269980,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg  
91,1612130585,9781612130580,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg  
92,60786507,9780060786500,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg  
93,349113912,9780349113910,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
94,99408392,9780099408390,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg  
95,140449264,9780140449270,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg  
96,307265439,9780307265430,Cormac McCarthy,2006,The Road,eng,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg  
97,7524277,9780007524270,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg  
98,446693804,9780446693810,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg  
99,440241413,9780440241420,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg  
100,451525264,9780451525260,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg  
101,553381695,9780553381700,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg  
102,143037145,9780143037150,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
103,670026603,9780670026610,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",eng,4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg  
104,684833395,9780684833390,Joseph Heller,1961,Catch-22,en-US,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg  
105,751529818,9780751529810,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg  
106,312422156,9780312422160,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg  
107,143039563,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg  
108,440498058,9780440498060,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg  
109,143038095,9780143038090,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg  
110,385729332,9780385729340,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg  
111,60987103,9780060987110,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg  
112,582418275,9780582418270,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg  
113,316098337,9780316098340,Emma Donoghue,2010,Room,eng,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg  
114,521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,4,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg  
115,340839937,9780340839940,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg  
116,316346624,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg  
117,1451648537,9781451648540,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg  
118,451163966,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg  
119,684830493,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg  
120,142000663,9780142000660,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg  
121,451528824,9780451528830,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
122,1416914307,9781416914300,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg  
123,440242940,9780440242950,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg  
124,142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg  
125,1594744769,9781594744760,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg  
126,804139024,9780804139020,Andy Weir,2012,The Martian,eng,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg  
127,451207149,9780451207140,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
128,1476746583,9781476746590,Anthony Doerr,2014,All the Light We Cannot See,eng,4.31,470001,https://images.gr-assets.com/books/1451445646m/18143977.jpg  
129,1400064163,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg  
130,671027387,9780671027380,Dan Brown,2001,Deception Point,eng,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
131,316055433,9780316055440,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg  
132,1595141715,9781595141710,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg  
133,452287022,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg  
134,525421033,9780525421030,Gayle Forman,2009,"If I Stay (If I Stay, #1)",en-US,3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg  
135,312353766,9780312353770,Anita Diamant,1997,The Red Tent,en-US,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
136,786856866,9780786856860,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg  
137,446528056,9780446528050,Nicholas Sparks,2006,Dear John,en-US,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg  
138,1416914293,9781416914300,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg  
139,743477103,9780743477110,William Shakespeare,1606,Macbeth,eng,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg  
140,618346260,9780618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg  
141,394800168,9780394800160,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg  
142,142403881,9780142403880,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg  
143,1423101464,9781423101470,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg  
144,192833596,9780192833590,Charles Dickens,1860,Great Expectations,eng,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg  
145,345339738,9780345339740,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg  
146,1250012570,9781250012580,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg  
147,525423648,9780525423640,Ally Condie,2010,"Matched (Matched, #1)",eng,3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg  
148,747263744,9780747263750,Neil Gaiman,2001,"American Gods (American Gods, #1)",eng,4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg  
149,385199570,9780385199580,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg  
150,446547565,9780446547570,Nicholas Sparks,2008,The Last Song,en-GB,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg  
151,552151696,9780552151700,Dan Brown,1998,Digital Fortress,en-GB,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg  
152,141439580,9780141439590,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg  
153,345803922,9780345803920,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,4.02,297472,https://images.gr-assets.com/books/1352422904m/15823480.jpg  
154,393312836,9780393312840,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,431195,https://images.gr-assets.com/books/1348339306m/227463.jpg  
155,964729237,9780964729230,William Paul Young,2007,The Shack,eng,3.74,419539,https://images.gr-assets.com/books/1344270232m/1812457.jpg  
156,739380338,9780739380340,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,https://images.gr-assets.com/books/1327924597m/4502507.jpg  
157,451169514,9780451169520,Stephen King,1986,It,en-US,4.18,292592,https://images.gr-assets.com/books/1309376909m/18342.jpg  
158,143058142,9780143058140,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg  
159,61148512,9780061148510,Sylvia Plath,1963,The Bell Jar,en-US,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg  
160,7205236,9780007205230,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
161,553208845,9780553208850,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,372099,https://images.gr-assets.com/books/1428715580m/52036.jpg  
162,679745580,9780679745590,Truman Capote,1965,In Cold Blood,eng,4.05,381652,https://images.gr-assets.com/books/1424931136m/168642.jpg  
163,316042676,9780316042670,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,https://images.gr-assets.com/books/1327873282m/6304335.jpg  
164,1416975861,9781416975860,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,https://images.gr-assets.com/books/1454962884m/7171637.jpg  
165,141301066,9780141301070,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,440743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png  
166,385534639,9780385534640,Erin Morgenstern,2011,The Night Circus,eng,4.03,429543,https://images.gr-assets.com/books/1387124618m/9361589.jpg  
167,743227441,9780743227440,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080,https://images.gr-assets.com/books/1355932638m/37470.jpg  
